Source	Target	Size [MiB]
17	4	600
6	7	332
15	10	526
14	12	1920
15	1	513
9	17	1706
18	9	1720
17	3	1071
4	17	1155770
16	13	1535
17	7	210
16	8	1260
12	7	639
17	6	1371
15	6	1619
1	14	821
17	1	314
7	9	241
10	14	2247
10	15	94
10	3	25
17	6	1324
17	14	1060
7	2	1292
6	14	22
17	3	111
10	3	413
2	20	5825
8	11	1907
19	4	442
17	2	884
6	10	2152
12	18	595
19	13	1054
8	12	9503
4	12	164
19	9	151
6	12	991
8	4	811
14	5	2399
4	16	512772
3	2	801
17	5	1141
17	18	747
6	14	2053
2	7	1072
8	2	2101
6	14	323
6	2	552
9	7	2449
15	14	497
5	17	637
15	7	439
5	15	155
17	12	645
7	14	1606
18	14	1906
5	19	2050
11	20	63825
9	2	598
20	13	1657
5	20	60175
2	17	1199
10	15	1539
18	16	2475
4	17	321670
6	10	450
8	10	775
4	11	1316320
18	15	678
6	13	1184
19	4	887
18	11	892
9	8	1949
20	14	615
2	7	2765
8	16	14
19	3	2187
12	19	539
7	18	1009
12	10	334
12	4	1174
6	9	1590
11	9	1556
11	8	2014
13	9	925
12	13	1859
7	12	568
17	16	1140
7	13	2833
19	15	345
5	13	575
14	16	371
5	17	570
15	8	425
14	7	1158
17	12	1728
7	14	94
18	8	1040
15	9	431
16	3	1844
7	8	596
6	17	458
2	18	2229
18	17	952
10	7	1319
20	3	777
5	16	420
12	11	120
20	2	250
17	19	2316
6	2	406
10	6	1358
17	18	1106
13	7	1131
18	17	1281
17	15	1599
3	10	1608
9	14	781
3	7	987
4	2	852
7	9	505
11	12	2370
4	13	1003
7	4	2645
4	5	826
18	19	294
12	4	16
17	14	667
19	7	385
10	9	1207
4	19	317
14	9	338
13	17	1036
14	5	1627
13	6	1060
16	3	2403
3	19	2439
6	8	1171
12	10	1786
18	6	2228
9	10	1247
8	12	121290
2	5	2263
17	19	1474
3	10	943
1	12	1490
16	3	761
16	15	1862
7	13	938
13	12	648
18	4	1318
18	4	1015
15	11	83
12	15	1834
19	13	80
14	9	959
18	2	944
11	4	640
2	7	2320
19	17	1028
12	19	1177
14	2	1720
17	19	977
3	9	1143
18	9	2440
3	16	666
13	12	99
18	5	49
3	10	804
12	9	770
20	3	437
5	18	682
17	5	529
19	6	854
14	19	1091
1	12	153
18	19	607
9	11	1305
3	18	264
7	11	1295
19	1	935
14	4	904
6	17	2277
4	10	774
19	15	861
3	19	1443
12	10	623
4	13	1960
17	4	1438
14	18	101
13	10	806
17	19	1711
12	5	2287
14	18	356
11	2	1048
3	7	444
5	14	471
18	1	1181
16	6	807
12	8	389
16	12	1047
6	19	408
11	4	714
16	20	15150
6	13	430
6	12	1343
14	9	685
9	5	386
14	2	1766
20	7	1115
19	16	1614
9	10	1142
19	8	10
9	17	656
12	11	2122
7	18	11
5	19	762
17	15	511
15	18	2141
4	7	374
5	12	1200
5	7	140
4	3	1739
10	13	487
16	17	1097
13	17	919
17	4	748
9	6	1579
6	5	1447
3	16	426
5	18	3
3	10	956
11	14	12
9	13	681
16	2	1212
13	7	492
20	10	753
9	4	583
9	16	510
19	12	467
13	9	1418
8	16	1470
13	12	629
5	10	2120
1	20	2737825
2	5	765
19	20	37375
14	16	1440
12	8	1673
9	20	9550
4	5	248
20	7	1140
4	19	653
8	5	964
6	12	1621
4	14	737
7	9	250
11	5	905
13	14	1853
3	6	470
2	13	149
17	3	1485
13	15	2275
1	3	535
19	4	786
12	1	1975
17	5	681
18	9	2263
4	10	1451
3	2	126
15	12	673
16	5	155
15	5	820
4	12	351
10	14	1152
19	6	1865
11	4	604
13	10	1299
18	2	2391
11	6	906
5	4	1531
6	3	791
7	12	1112
16	15	496
3	4	1837
20	19	93
7	4	967
9	11	1269
1	13	420
3	1	839
2	13	2
13	18	828
10	6	2063
2	20	48275
6	14	1592
4	10	109
14	18	734
15	17	1513
13	18	1073
5	7	901
6	1	1118
19	8	675
13	17	910
6	17	1487
12	8	729
14	4	728
7	3	465
8	17	1659916
1	8	1136
2	17	1233
6	4	1683
18	15	1634
14	8	1456
9	2	1270
17	11	971
7	16	629
2	17	1779
13	7	1744
3	7	2331
2	20	20200
8	20	1953075
1	3	995
10	4	787
16	17	143
14	15	2309
6	16	1081
7	12	1041
5	17	76
8	19	1643
16	8	372
16	8	214
10	19	187
14	12	748
11	20	38125
18	5	1071
19	15	2245
17	15	654
18	10	637
6	19	258
13	6	692
8	2	522
9	14	671
18	11	1846
9	5	318
14	7	822
20	15	2235
5	12	370
9	5	1425
11	5	253
9	2	13
4	19	845
15	11	517
13	19	876
1	4	856
8	20	710950
11	16	1150
18	11	51
4	12	638
11	18	208
5	4	7
2	16	2258
9	14	575
3	10	1065
18	13	4
10	12	2025
5	10	117
13	17	2262
8	14	78
17	1	1351
7	18	1242
15	11	1153
19	8	175
8	15	586
4	8	317
12	9	247
18	3	1180
19	18	525
10	4	847
9	15	1406
12	16	1597
13	7	968
7	13	442
17	11	1418
9	8	54
2	19	1530
9	19	1464
15	2	11
19	11	275
11	20	16975
8	15	1145
11	13	1927
13	12	282
17	8	772
9	11	930
10	17	76
17	5	95
15	11	1039
18	2	958
14	11	30
16	13	1084
5	18	1986
13	16	54
2	3	2090
5	9	425
16	17	1599
5	10	1491
3	20	28050
2	16	686
6	8	684
14	10	971
7	10	1730
10	2	71
17	14	1279
15	6	2210
19	10	377
9	16	804
20	2	1410
10	12	859
2	6	36
9	16	913
18	2	716
15	7	328
4	7	1447
10	19	548
7	18	1275
14	18	1791
15	12	524
5	9	30
2	19	1708
20	17	1361
5	20	16350
1	11	1039
10	2	496
18	6	1801
19	14	1219
5	1	312
14	3	1554
13	12	66
12	6	1052
3	18	856
19	18	1441
6	2	151
18	2	2165
8	9	772
10	13	618
11	18	2235
12	10	1578
20	6	300
15	3	1041
13	6	132
2	13	685
12	13	1789
13	5	1278
6	9	850
8	18	28067
1	12	1232
15	7	531
17	16	532
17	13	1435
13	2	1448
13	2	799
9	8	203
19	17	188
3	4	237
4	16	125856
9	1	849
17	7	898
6	15	947
2	1	422
16	4	606
9	18	327
12	7	229
6	14	522
9	14	219
7	19	2085
10	13	1566
16	11	2024
14	11	2479
9	2	2394
19	2	692
16	7	1752
16	13	1439
5	4	1841
12	1	760
17	13	1231
8	18	391404
19	13	1444
12	20	42250
3	2	971
11	12	191
4	15	619
13	18	1364
6	4	901
15	19	1438
5	9	235
14	15	310
6	18	604
14	10	500
16	20	18700
16	12	955
5	18	672
7	11	1742
5	17	162
2	5	1617
7	11	1730
12	1	977
19	9	1165
10	15	1372
3	1	455
11	17	785
19	15	1084
6	2	1545
1	2	79
14	10	1117
7	2	1222
9	3	1426
13	12	983
16	5	2165
9	16	448
3	11	660
13	16	147
12	17	426
7	3	372
10	8	1954
5	13	1237
4	3	546
9	17	1491
3	12	1288755
19	4	330
18	16	1870
12	19	341
3	4	964
18	8	1736
7	10	2680
9	14	990
13	17	1950
15	10	213
6	3	118
6	16	471
5	8	479
19	3	47
13	10	898
17	14	824
2	14	2848
3	9	2167
14	15	1229
17	9	2034
13	1	1601
14	6	1632
10	6	1842
4	6	402
3	18	243
3	19	1077
18	6	76
4	10	342
17	3	1120
18	5	410
17	7	1337
2	5	389
4	7	470
7	16	1487
5	7	2423
8	19	2059
19	11	502
11	13	542
1	7	569
14	1	2030
12	6	1284
14	7	1479
11	13	336
16	4	1298
18	15	1069
1	2	1503
3	17	353
9	7	805
3	14	1746
3	16	1036
17	11	1577
2	18	1585
15	13	48
17	10	1250
17	6	489
15	4	1851
14	13	836
14	3	611
20	13	1092
10	7	1005
2	4	1309
1	16	1659
10	14	36
6	19	241
15	16	686
6	4	959
17	19	1713
5	12	728
13	17	1211
18	1	1923
14	7	1412
5	10	1518
18	5	694
3	5	2658
1	8	910
4	3	2808
4	5	655
12	5	362
12	14	1859
17	2	1638
8	7	536
5	11	383
5	18	1262
19	9	20
12	17	2102
16	2	148
7	9	1964
14	5	1853
14	4	1096
5	1	810
15	18	778
7	18	966
11	14	252
15	9	524
11	13	160
10	9	769
17	16	1320
2	14	1556
14	3	1277
7	8	166
12	9	551
3	10	1170
7	16	642
11	5	1199
7	9	732
4	2	732
13	5	962
20	8	826
1	4	400
18	4	568
1	20	46400
1	14	1004
3	11	1892
7	17	1173
3	5	1347
4	19	1821
14	6	928
9	13	666
18	10	1433
19	12	48
18	15	665
12	20	26150
5	19	103
18	19	982
16	15	1417
7	18	1022
11	8	1017
4	16	642010
14	19	1751
8	4	1844
2	19	1529
12	8	2897
15	19	163
20	11	647
2	10	1584
13	5	267
20	18	359
13	4	1501
4	14	1130
4	11	82840
17	14	1674
10	19	1227
9	2	482
18	2	865
20	6	612
14	6	852
9	12	1135
14	15	2268
7	6	243
12	1	558
4	17	326838
4	12	700
20	20	18375
8	14	199
14	10	1234
16	11	2002
12	8	999
4	19	1267
8	2	1329
10	13	1119
16	2	1583
18	4	551
5	19	135
4	13	1129
3	7	581
17	10	151
8	16	1105
3	9	2269
1	15	2219
3	11	1169
2	3	1495
2	9	1641
18	2	475
16	3	456
18	8	1189
18	7	216
13	9	807
7	12	830
18	20	32225
2	14	316
19	17	309
7	5	405
2	8	2625
12	10	1705
19	5	414
17	16	2084
4	8	804
4	20	845664
9	18	2194
17	19	304
3	7	1801
11	17	88
14	7	2168
18	7	1100
2	4	589
13	3	980
17	2	957
16	14	1022
9	2	1601
3	5	1412
16	12	1985
12	13	2154
20	14	1316
1	7	1030
3	4	758
16	5	353
12	15	388
9	4	379
12	15	218
7	13	896
2	20	29825
5	17	1057
13	9	15
6	4	273
7	5	1029
2	20	2291625
6	9	2364
16	1	33
16	15	1264
10	18	678
18	7	572
9	3	1068
12	13	27
10	18	1263
7	18	104
11	14	2113
19	17	325
5	3	1921
6	4	592
19	2	2231
14	17	644
6	17	449
18	8	1475
14	6	2260
17	10	1994
19	17	1225
2	14	116
10	12	830
9	17	1240
6	3	113
17	11	824
2	4	890
17	13	1992
8	4	619
5	10	478
18	16	1034
12	14	217
10	12	642
7	5	1673
2	10	1281
20	6	359
1	11	336
17	12	1299
17	11	162
10	12	1078
20	13	152
19	11	815
12	5	972
7	15	2472
17	16	868
3	7	166
10	3	312
17	16	2065
10	2	1167
9	4	487
17	15	1523
19	13	347
3	2	739
13	16	268
17	7	404
10	13	2338
13	3	1264
19	9	2333
14	8	1868
16	8	621
11	2	170
5	8	726
18	1	149
17	4	341
18	13	1579
7	14	1053
6	4	175
6	8	837
4	3	1654
8	18	417560
16	15	1271
11	5	122
8	18	490997
6	17	464
8	16	650
11	9	607
17	10	478
7	9	417
6	10	1251
15	11	2687
1	4	997
19	17	64
7	8	854
3	8	183
16	19	919
4	17	70528
16	20	14075
10	1	1463
5	8	2159
2	13	545
12	19	2015
12	3	522
18	6	1197
18	5	837
15	17	1712
2	7	316
6	13	2954
4	3	123
17	2	1357
13	16	785
14	6	1334
7	2	1582
19	11	1048
12	3	761
3	13	454
14	2	387
5	16	15
7	18	48
6	13	2447
14	15	462
20	19	506
8	20	467925
16	18	27
7	6	1795
6	19	495
7	5	1193
11	13	434
4	13	204
9	2	32
9	5	1815
10	5	683
1	10	1074
5	10	401
14	10	1413
3	16	1428
14	11	838
13	19	2558
10	4	487
5	18	230
16	1	295
16	14	1683
16	1	225
11	15	207
18	14	1261
8	18	645346
18	6	1886
11	5	1254
1	8	2542
8	18	317031
20	12	326
7	4	432
1	13	84
9	4	2210
11	8	614
14	16	522
17	7	1207
9	15	1323
2	3	1635
18	9	1137
4	11	102790
8	1	2380
4	2	248
5	9	236
17	6	329
17	2	533
19	14	248
16	9	1747
11	5	85
3	11	89
20	14	1671
6	5	2230
11	18	287
16	2	2174
19	6	1535
12	4	563
17	5	1187
13	15	1447
9	12	1423
20	4	2389
16	12	1794
11	19	908
14	12	1014
9	6	510
2	11	579
12	6	2379
3	4	1045
4	12	1234
1	16	1546
16	19	983
10	2	510
19	18	2258
11	13	481
11	19	548
18	19	258
6	16	335
8	14	499
18	3	163
2	15	766
19	4	898
15	5	759
7	3	1531
12	11	978
6	12	558
15	2	1958
5	4	1125
11	8	74
19	18	1204
20	1	574
8	3	1868
4	16	48184
2	10	1215
19	7	783
13	2	1329
9	16	416
1	12	556
14	17	388
12	18	2503
15	17	684
13	18	1674
9	19	716
4	13	461
6	5	1566
12	18	1758
5	7	1275
9	20	31250
16	14	964
14	13	546
11	10	487
19	11	984
15	19	1684
2	12	279
20	8	1818
14	20	54150
17	5	635
13	4	2481
11	6	943
6	5	2099
13	2	1251
1	10	648
5	19	2344
5	9	469
5	15	720
15	9	1059
1	7	317
18	17	1979
7	6	2182
10	20	35400
8	12	41821
6	20	1850
6	14	254
4	16	644290
11	18	126
11	16	2451
18	4	365
4	7	1964
10	1	551
8	10	1690
7	13	653
5	8	675
18	16	1535
15	12	770
14	3	472
14	3	1793
5	8	410
1	2	849
13	11	320
9	19	1553
19	7	1387
4	11	292448
5	8	2153
10	11	17
18	15	414
4	16	411692
18	8	399
5	12	152
3	9	226
11	1	449
10	2	1981
5	17	1028
5	18	531
12	11	85
14	3	868
18	17	2498
14	1	2528
7	20	39575
4	5	670
19	5	1907
13	15	1983
11	9	401
11	6	2642
2	8	450
3	18	1016
19	12	986
13	16	272
3	4	750
1	2	256
12	10	1304
15	16	1302
19	11	655
3	19	55
8	13	1955
8	9	1798
18	4	1065
7	2	347
1	5	822
16	3	1044
19	16	933
17	5	213
4	5	229
9	16	524
6	15	1833
8	12	429455
3	18	2234
12	13	2128
5	15	867
12	17	906
9	1	899
5	8	456
13	4	700
10	6	1423
3	13	312
14	5	1221
10	6	758
19	4	1104
3	19	500
4	20	92448
19	5	1389
13	2	834
11	18	1110
19	10	389
17	12	621
8	13	914
5	3	1056
7	3	2369
8	9	223
6	8	1731
2	6	622
17	6	739
4	7	1188
4	19	1288
3	16	979
19	10	662
6	14	2424
16	11	1270
16	2	1789
4	5	1417
16	8	1326
19	10	1165
6	3	336
3	16	1157
15	8	472
5	11	290
8	20	64925
12	19	140
3	6	433
8	5	1147
7	17	88
15	16	494
15	10	425
11	16	1796
13	2	1402
6	2	1146
10	6	1396
8	2	494
11	13	591
6	17	1750
11	16	348
18	15	2206
19	5	1810
8	9	2207
16	6	1055
17	4	607
10	16	1343
14	15	37
3	10	385
7	13	1688
9	10	1106
13	3	1943
12	10	1227
16	6	580
19	13	945
17	11	177
3	18	1204
4	15	1992
7	16	150
4	3	229
12	20	4075
14	8	380
8	10	1340
16	6	714
13	12	683
16	3	533
7	6	720
18	12	745
7	17	1119
13	2	174
14	19	548
2	3	1312
1	9	1471
20	5	65
11	19	1348
14	11	1403
10	17	229
13	8	1149
13	9	299
5	10	876
3	8	294
3	16	1156
15	7	81
15	11	918
14	8	1460
19	6	252
7	14	1567
11	17	598
6	8	471
10	15	1539
19	3	935
11	9	889
1	6	1111
19	2	696
8	18	333632
14	16	2309
9	11	1828
15	19	299
15	16	1262
19	8	454
17	6	1490
9	3	1091
16	3	1255
19	17	1319
4	17	81662
2	9	1811
15	6	397
19	16	815
13	15	893
18	15	197
16	2	2310
1	12	1145
11	7	1467
6	15	755
8	17	2019
18	14	1542
12	3	232
11	18	252
17	15	1295
14	17	239
11	3	1141
9	14	1829
12	18	1253
17	20	40550
5	18	660
14	13	2027
10	7	1392
10	5	2057
3	2	703
5	9	1657
20	7	1966
19	9	1436
14	4	1482
19	18	1710
5	12	1351
10	17	27
13	2	1833
6	13	749
4	15	370
14	15	611
9	12	598
4	13	770
17	16	657
4	6	1704
6	16	1440
13	11	2023
15	4	899
2	16	877
12	4	1190
20	2	1042
8	14	991
7	10	1145
17	16	1520
7	12	591
17	19	293
8	5	594
14	12	1469
1	4	1330
19	9	1138
13	9	492
14	19	795
14	4	943
14	1	882
14	3	1016
13	19	123
20	5	1101
12	9	1299
10	5	2550
16	12	688
13	14	1153
12	2	154
14	7	1134
9	20	14025
2	18	780
6	10	752
8	10	698
13	12	752
11	17	1842
14	19	2444
11	18	118
14	20	67800
11	6	123
13	8	470
4	6	1829
7	14	2251
4	19	1223
7	12	290
14	11	174
16	10	2065
13	5	1426
16	5	853
10	20	14150
8	6	627
8	14	820
14	17	724
12	16	577
17	16	679
1	14	1561
10	2	474
4	6	162
10	14	1333
12	17	8
7	5	1361
10	15	2277
17	2	1268
9	15	11
5	2	1325
5	14	87
17	20	12000
6	18	147
12	6	458
13	5	1172
13	9	1146
3	19	1185
14	9	87
9	12	322
17	12	2426
13	17	2133
17	4	966
11	10	877
13	19	474
2	6	941
18	12	1041
14	2	415
12	2	88
15	2	887
17	6	1212
18	14	731
19	11	1352
12	18	1471
12	7	1339
7	14	149
15	1	882
19	13	176
17	15	2163
20	8	436
12	6	1180
2	17	572
5	15	920
13	11	707
7	19	249
13	1	1153
16	13	2160
5	3	1373
8	7	1186
3	13	1070
15	18	2664
5	17	996
9	10	2088
17	3	549
20	16	103
15	18	895
16	9	1328
10	19	1071
5	19	2589
2	3	113
7	4	126
16	9	1108
11	18	1210
13	7	1194
12	17	1092
19	16	589
3	20	8625
6	17	391
19	11	1825
14	11	1470
20	9	1243
19	13	638
12	14	1455
7	16	931
15	7	636
6	16	974
11	3	734
17	12	1522
9	12	8
15	12	2628
11	19	61
16	7	1141
1	17	710
13	7	284
17	7	210
7	18	1426
3	6	1296
18	10	814
17	7	546
15	16	1633
9	19	359
13	8	380
4	16	10108
7	14	429
19	18	639
11	1	1726
6	11	1394
1	12	11
12	13	1645
12	2	1541
15	2	1917
20	7	2566
2	10	969
18	3	805
6	20	20725
14	9	1515
17	13	1891
15	3	188
13	9	755
6	7	627
19	9	779
15	5	2
15	6	67
6	2	978
5	14	1191
19	14	782
1	17	1859
11	13	439
7	17	1045
15	18	300
20	18	1264
20	10	133
6	2	1124
19	20	16350
2	6	500
18	8	546
19	13	898
4	20	5404767
14	4	383
6	8	1355
4	11	2096726
20	1	1388
14	10	1548
13	11	1035
16	15	885
6	15	806
20	9	1461
6	8	2209
9	10	60
8	2	1401
6	20	20575
15	3	1226
19	20	10900
12	8	953
8	1	201
8	18	711438
13	5	1279
13	2	252
18	14	543
3	16	263
15	8	1082
18	14	414
5	15	745
15	9	927
5	14	1478
15	12	1300
9	3	618
10	11	1063
7	10	33
6	14	1394
16	11	245
16	19	1969
16	9	1544
3	13	261
14	4	593
10	6	1184
20	7	33
19	18	1829
17	16	119
7	20	20750
8	12	151294
15	14	1659
11	15	1832
19	10	1702
5	10	672
1	3	1697
13	17	2789
10	18	886
12	14	161
18	8	1852
14	17	623
12	15	464
18	1	51
16	6	957
7	18	335
5	13	863
15	14	2103
11	4	1237
4	14	1773
4	12	1739
16	4	917
7	6	300
16	3	1360
8	14	752
5	8	631
8	7	596
3	6	1030
7	14	1541
7	2	100
19	13	123
13	6	181
4	12	1128
7	5	90
9	17	1370
14	5	696
17	16	45
18	8	617
6	18	239
20	18	441
18	19	1747
15	9	1345
19	5	942
11	3	270
7	17	1274
18	19	273
3	6	1769
2	3	792
15	4	2130
1	8	1443
8	7	977
10	5	365
9	7	61
13	3	1985
1	3	1672
11	8	932
19	16	1499
15	10	109
9	8	1447
18	6	1996
2	5	100
19	8	1225
8	9	373
5	10	474
12	13	392
17	9	1003
20	14	493
12	19	1468
11	7	1436
18	15	908
14	12	1507
16	5	1184
4	18	1116
15	10	28
19	12	337
6	9	472
2	20	40800
20	10	708
15	17	602
3	12	2603
2	1	1096
6	5	242
9	12	169
15	8	1698
9	11	1720
20	15	796
14	15	1193
19	4	1205
5	15	2191
19	8	612
14	15	1568
12	16	692
13	2	1491
6	2	1876
14	9	2305
10	14	31
8	15	11
17	20	8175
12	11	228
7	9	16
5	16	2027
4	5	1125
16	3	223
9	18	1065
8	18	6552
19	12	439
6	1	882
11	2	676
7	15	526
18	9	43
10	7	1395
3	14	1280
9	19	867
16	20	23150
3	10	318
4	3	844
13	9	1561
12	19	109
15	19	2490
3	11	890
7	11	2580
11	6	459
4	6	926
3	7	1817
17	9	2284
9	15	292
12	4	461
5	18	1603
5	10	1616
6	19	627
18	1	1606
16	1	794
17	2	847
8	15	1487
14	9	138
15	7	1319
3	6	1285
12	4	525
11	10	1206
18	2	869
10	12	504
12	11	2216
2	16	1064
4	8	2557
5	18	806
5	15	271
13	11	11
4	14	60
16	20	9150
8	5	617
3	6	421
9	8	1505
13	15	565
15	2	137
16	7	379
10	3	216
18	16	365
13	19	457
16	8	1757
16	6	832
5	17	1768
6	10	997
18	14	1919
16	14	1233
19	4	1436
16	14	1056
4	15	1002
7	17	258
7	12	773
13	9	1883
8	3	1916
9	7	503
3	14	3
7	17	670
6	19	660
14	8	709
12	2	400
8	11	1616
11	3	761
6	16	1168
18	11	1866
19	5	1274
14	17	1572
17	18	1783
17	10	628
2	10	1467
16	20	12775
7	6	32
9	16	311
18	19	1812
3	15	580
19	7	190
6	17	721
4	16	1281702
16	14	1183
13	17	961
8	9	1001
9	7	288
10	2	732
17	15	157
13	14	440
3	9	1456
12	1	278
9	8	304
7	12	2303
16	4	780
15	8	1240
3	10	1359
17	11	209
6	17	1770
1	10	77
16	18	2287
11	5	1357
11	10	943
8	12	361452
5	10	2415
9	8	51
14	7	275
3	19	144
17	15	1022
9	2	61
6	9	512
4	16	894596
17	12	1904
12	2	1230
7	12	22
13	9	725
13	14	454
6	12	230
16	19	1572
13	7	2198
15	7	2226
1	4	417
18	3	903
15	19	936
9	16	1610
5	14	1734
3	6	1302
18	2	787
3	10	720
16	13	1554
5	10	732
15	11	511
1	4	444
4	5	2179
15	4	262
3	13	1284
9	3	1480
10	1	287
5	13	577
19	2	41
4	5	1946
19	11	1425
1	6	632
4	13	943
8	19	2240
5	11	723
15	12	1052
11	12	851
14	19	1095
2	10	437
12	3	2055
12	17	602
2	5	889
19	14	643
9	18	94
17	3	405
17	5	394
17	20	6300
13	10	530
8	16	1689
12	19	781
20	7	1252
7	8	1728
17	12	336
18	15	428
6	20	1488600
2	3	91
1	5	179
9	12	506
1	6	1754
5	6	1843
18	11	1225
12	20	28900
7	18	1816
2	6	787
8	7	1204
3	11	1033
14	10	2072
19	5	868
12	11	202
14	4	587
14	17	571
16	18	1630
3	14	1133
17	19	2784
13	7	2273
18	15	1381
10	16	347
6	12	370
6	14	1042
17	14	2655
1	9	915
14	9	187
3	18	1545
8	6	852
18	17	1014
5	19	1362
10	2	1623
7	9	859
17	3	1277
9	3	120
19	3	315
13	11	423
6	5	983
2	1	92
1	12	775
16	12	2577
3	9	1022
17	9	1095
1	8	1026
3	4	868
2	17	1325
9	3	1136
6	1	1093
7	6	55
5	15	935
8	4	1578
1	13	586
17	9	349
17	10	1532
17	14	1053
9	7	1116
6	12	17
7	10	1035
2	19	61
14	19	107
7	1	787
5	6	612
20	10	1829
5	1	372
14	9	188
15	3	1331
8	18	1013376
17	18	917
19	12	1475
19	7	1114
19	8	86
13	5	1661
15	14	281
3	11	1893
15	16	2328
5	13	1248
5	2	753
4	2	841
16	18	1200
5	7	778
10	5	653
15	18	2035
3	5	436
2	14	1210
3	17	1197
6	18	2059
7	13	391
19	6	394
18	5	1680
3	8	1884
16	8	1337
11	13	49
3	16	205
19	7	1222
2	5	1940
6	13	516
14	4	1403
15	3	1003
13	15	1113
20	11	811
3	10	13
14	4	83
3	8	691
19	5	919
1	7	897
12	10	716
12	4	421
18	19	343
2	10	323
5	13	531
7	17	1483
17	2	1028
14	18	521
6	5	905
7	3	973
11	5	583
1	12	1691
19	9	1661
2	9	301
3	13	858
3	19	895
6	3	917
18	16	336
3	12	1225
12	19	736
16	10	1938
2	8	1734
11	12	1036
12	1	1033
2	3	1920
11	5	672
11	12	424
2	17	157
18	15	916
9	16	700
4	12	30
4	13	502
14	1	2258
4	2	1354
14	6	1743
20	19	185
17	7	679
16	6	881
12	15	822
7	16	503
9	8	739
12	3	416
12	16	1555
15	18	1270
16	14	2191
5	3	1519
9	7	189
6	16	1749
9	18	919
17	4	1429
8	17	745
1	6	604
8	20	954375
4	6	1158
10	6	197
5	6	1825
10	2	533
5	1	621
7	8	101
17	15	1069
11	3	291
5	18	1936
9	20	60825
10	15	905
8	3	92
8	7	86
9	4	1602
20	17	149
14	6	1811
1	10	607
11	10	716
19	2	148
20	8	370
18	4	695
15	8	2018
19	20	13050
8	3	457
8	6	1177
6	15	989
9	13	215
14	15	2530
5	11	1237
12	7	249
19	13	1268
10	5	139
5	3	1412
14	15	749
9	7	94
5	8	621
7	11	851
16	20	37750
19	6	424
15	16	1121
6	15	612
3	20	9925
10	20	7025
9	12	204
3	11	346
11	2	1095
6	2	374
17	9	2470
8	11	2104
18	2	585
2	8	1761
6	5	1971
9	13	2362
6	16	494
7	1	2461
19	3	857
6	15	2206
17	5	857
12	18	1288
14	19	1345
18	10	2163
17	10	2431
18	17	1191
4	16	925604
18	11	208
2	15	166
4	16	329118
17	2	1078
11	17	533
16	5	2062
16	12	703
7	15	1419
14	19	974
3	19	2012
13	12	52
15	14	754
3	9	256
8	9	1816
11	3	2354
4	11	1243626
7	6	445
19	17	870
4	9	365
7	5	948
13	11	379
6	15	14
2	5	1961
18	11	838
18	13	492
7	16	1423
5	9	1050
20	2	1388
7	18	1391
7	16	1043
18	12	175
11	14	1128
18	11	1041
18	17	230
14	11	356
15	4	828
13	10	149
18	2	755
10	14	180
18	7	363
7	19	6
8	13	322
14	9	390
13	3	1751
19	11	788
2	9	264
19	2	1425
14	13	1922
9	20	57875
14	4	1026
1	3	2004
14	2	215
18	14	204
6	8	437
14	2	743
3	16	1036
8	18	1169207
5	16	1026
3	7	1047
14	11	545
5	9	1159
10	15	396
7	4	1694
6	12	256
12	5	1084
3	4	1695
4	7	389
8	11	572
1	7	1203
12	16	251
5	20	4825
8	12	850265
11	17	776
16	8	2165
15	8	10
19	6	2564
13	16	555
4	7	1470
4	18	1054
10	15	928
13	12	960
8	16	2102
15	16	1592
16	2	1080
16	5	130
8	4	2386
17	11	432
20	18	1157
9	19	943
12	14	279
8	15	1612
8	12	29289
16	11	1682
4	12	1373
16	4	254
19	15	951
8	2	797
13	10	187
6	17	1313
14	2	206
12	14	1753
4	18	1371
3	11	834
8	19	382
2	12	1477
9	5	2172
9	7	1326
12	18	81
9	18	3
13	18	440
7	18	748
6	16	7
15	14	213
17	14	913
19	13	1262
17	18	135
7	19	1188
19	7	318
18	4	2022
6	16	515
6	7	14
1	17	1259434
8	18	31447
2	4	116
8	18	269776
12	7	623
12	18	641
1	14	856
12	1	1777
16	13	245
10	16	276
17	4	1033
17	8	215
17	18	2311
7	5	346
7	18	168
19	4	551
10	15	1197
7	10	628
9	7	2513
10	8	1241
5	13	506
1	5	1955
17	1	1080
9	8	183
4	6	1294
18	7	1099
14	8	405
18	7	535
2	9	484
2	4	325
18	7	726
17	4	1121
17	8	1436
7	17	2095
16	13	130
9	11	1034
12	14	1155
18	2	1220
4	11	798456
18	8	336
20	12	151
5	3	1149
11	14	657
11	13	1324
9	18	388
4	15	48
18	16	1773
8	18	29133
9	1	1390
8	1	206
6	17	649
11	20	21200
5	8	67
17	9	743
9	11	243
20	6	552
10	7	482
14	16	1406
12	19	1665
16	19	30
13	14	1653
4	3	496
9	14	1352
11	3	329
6	17	431
3	2	1078
15	10	123
2	5	1387
19	14	2486
16	17	1651
2	9	480
14	2	478
4	11	879814
14	13	1683
16	12	2099
19	12	2214
11	14	898
5	16	7
2	10	727
5	8	1033
5	1	856
1	5	51
7	15	1047
1	4	2025
18	2	2204
2	4	1048
17	5	796
15	12	718
18	4	979
7	14	182
20	1	14
19	3	251
1	2	892
2	17	387
4	2	1016
13	5	987
15	6	836
9	17	308
15	9	630
16	18	926
2	9	489
1	20	38100
15	17	875
20	4	952
19	18	833
9	17	1978
9	5	714
15	8	978
17	3	1611
10	13	99
7	18	1610
8	16	1554
12	17	651
